leverantör,year,belopp
A HEREFORD BEEFSTOUW AB,2016,830.0
A HEREFORD BEEFSTOUW AB,2018,8450.54
A K SÄKERHETS SERVICE,2016,11050.5
A K:S SNICKERI AB,2017,788.0
A L IVARSSON FÖNSTER AB,2016,4568854.75
A L IVARSSON FÖNSTER AB,2017,591072.25
A LOT OF VOICE AB,2019,8000.0
A OCH B VON HALL AB,2018,7000.0
A PERFECT GUIDE SCANDINAVIA AB,2016,27900.0
A PERSONAL SOUND & DESIGN,2016,2800.0
A SCARLET FILM,2018,40000.0
A SOCIETY AB,2019,1837150.0
A TO A ARKITEKTER AB,2017,54976.0
A TO A ARKITEKTER AB,2018,47852.0
A WIN WIN WORLD EK.FÖR.,2016,198600.0
A WIN WIN WORLD EK.FÖR.,2017,493010.44
A Z MÅLERI & FASAD AB,2016,18750.0
A Z MÅLERI & FASAD AB,2018,773250.4
A&DC-A PSI BUSINESS,2017,22005.47
A'JOUR BRANDSÄKERHET AB (FB),2018,1888.0
A+ BYGG AB,2017,15000.0
A-ERGONOMI,2018,4500.0
A-GRAVYR ALLT I SKYLTAR AB,2016,11240.75
A-GRAVYR ALLT I SKYLTAR AB,2017,5309.75
A-SCRIPT FÖRLAG C/O HÅKAN ANDRÉASSO,2016,8517.859999999999
A-SCRIPT FÖRLAG C/O HÅKAN ANDRÉASSO,2017,3962.28
A-SCRIPT FÖRLAG C/O HÅKAN ANDRÉASSO,2019,8282.9
A-SKYLT AB,2016,8827.25
A-SKYLT AB,2017,1550.5
A-VISION AKTIEBOLAG,2017,12540.98
A-VISION AKTIEBOLAG,2018,17908.8
A-VISION AKTIEBOLAG,2019,1969.57
A. W. FILM- OCH KONSTFÖRELÄSNINGAR,2018,8000.0
A.ALFO SYSTEM AB (FB),2016,2280.0
A.ALFO SYSTEM AB (FB),2017,1240.0
A.ALFO SYSTEM AB (FB),2018,640.0
A.ALFO SYSTEM AB (FB),2019,44.75
A.D SHOP AB (FB),2016,8024.0
A.D SHOP AB (FB),2019,8035.25
A.D. CAFÉFÖRVALTNING AB,2016,4981.3099999999995
A.D. CAFÉFÖRVALTNING AB,2017,2097.38
A.D. CAFÉFÖRVALTNING AB,2018,5419.0
A.D. CAFÉFÖRVALTNING AB,2019,4117.16
A.MOHLINS KONDITORI AB,2016,36247.840000000004
A.MOHLINS KONDITORI AB,2017,28907.439999999995
A.MOHLINS KONDITORI AB,2018,41462.48999999999
A.MOHLINS KONDITORI AB,2019,41856.3
A.O. MUSIKPRODUKTION AB,2016,5000.0
A.O. MUSIKPRODUKTION AB,2019,4995.0
